Name,Description,Color
A,This issue can be implemented within max. 2 hours,#fbca04
B,This issue can be implemented within max. half a day,#fbca04
C,This issue can be implemented within max. one day,#fbca04
duplicate,This issue already exists,#cfd3d7
question,Further information is requested,#d876e3
task,technical issue for the developer (no testing needed),#17b58d
tested & approved,This issue has been tested and meets the requirement,#e8931e
implementation approved, The effort (A/B or C) for the implementation is approved,#75d35b
UseCase,customer requirements,#bfdadc
wontfix,This will not be worked on,#ffffff
X,,#e59142
